season_scope,fixed_effects,tau_permutation_blocks,interaction_beta,cluster_se,ci_low,ci_high,cluster_p_two_sided,ri_p_right,n_permutations,n_stacked,target_beta,beta_abs_err,target_ri_p,ri_p_abs_diff,ci_excludes_zero
annual_all_samples,weir + year,year,0.887440253669714,0.1792907058011252,0.5052911602668142,1.2695893470726138,0.000174599438830119,0.0002,4999,288,0.887440253669714,0.0,0.0002,0.0,True
annual_all_samples,weir + basin-by-year,basin-by-year,0.8874402536697138,0.18935208946596635,0.4838458286266858,1.2910346787127418,0.0002922799631197248,0.3348,4999,288,0.8874402536697138,0.0,0.3348,0.0,True
bloom_season_06_10,weir + year,year,1.0350637385933135,0.15187298089532514,0.7113541424811642,1.3587733347054627,5.839045628837723e-06,0.0002,4999,288,1.0350637385933137,2.220446049250313e-16,0.0002,0.0,True
bloom_season_06_10,weir + basin-by-year,basin-by-year,1.035063738593315,0.16039574465088666,0.6931883015474608,1.3769391756391691,1.0881950813473151e-05,0.0262,4999,288,1.035063738593315,0.0,0.0262,0.0,True
