variant_id,weir_en,did,p_value,min_pixel_count,n_pre,n_post
V07,Baekje Weir,-0.07098908774391942,0.0025562653295329823,753,13,13
V07,Changnyeong-Haman Weir,-0.011795555592779339,0.6301218889025967,2825,13,13
V07,Chilgok Weir,-0.04810980155194046,0.08363261726064679,992,13,13
V07,Dalseong Weir,0.019072567055733847,0.015982665164752222,4381,13,13
V07,Gangcheon Weir,0.0016275963499146062,0.9571282516826144,256,13,13
V07,Gangjeong-Goryeong Weir,0.02568104096489253,0.0673433330593216,3653,13,13
V07,Gongju Weir,-0.05918608235971598,0.0005356114805651062,71,13,13
V07,Gumi Weir,0.023134297112051835,0.3967211809495174,502,13,13
V07,Hapcheon-Changnyeong Weir,0.0478917580563918,0.07054902877925757,3964,13,13
V07,Ipo Weir,0.05912479693740559,0.002728701035785185,491,13,13
V07,Juksan Weir,0.02959329448024603,0.14824794613489742,246,13,13
V07,Nakdan Weir,0.022240749222240216,0.27962617073778323,2554,13,13
V07,Sangju Weir,0.02280476871487183,0.4231151309939341,306,13,13
V07,Sejong Weir,0.09994423549415987,0.0024504544110639146,30,13,13
V07,Seungchon Weir,-0.023065356725360253,0.29338012065769187,30,13,13
V07,Yeoju Weir,-0.08786670776524164,0.003594475701018858,374,13,13
