variant_id,weir_en,did,p_value,min_pixel_count,n_pre,n_post
V04,Baekje Weir,-0.06222920869343279,0.006131557384667483,757,13,13
V04,Changnyeong-Haman Weir,-0.020465932768226454,0.4161713399389222,1089,13,13
V04,Chilgok Weir,-0.05662373182891696,0.03593876792745479,754,13,13
V04,Dalseong Weir,0.013902694859219047,0.04671205947216236,4239,13,13
V04,Gangcheon Weir,0.0306390205860268,0.5430909236659739,11,13,13
V04,Gangjeong-Goryeong Weir,-0.009932697934031714,0.4943858222775164,3701,13,13
V04,Gongju Weir,-0.007272716120655921,0.6595210058892942,67,13,13
V04,Gumi Weir,-0.046665785991673224,0.06717197894666017,406,13,13
V04,Hapcheon-Changnyeong Weir,0.03086147007137227,0.08329643765898778,3117,13,13
V04,Ipo Weir,0.04996186869514276,0.013452716546543297,279,13,13
V04,Juksan Weir,0.05308875894669546,0.04058202917949689,228,13,13
V04,Nakdan Weir,-0.007637786243369379,0.6907377584727018,1137,13,13
V04,Sangju Weir,0.08726108506593065,0.026720654366679572,2,13,13
V04,Sejong Weir,0.07868930621486639,0.010990511572220104,35,13,13
V04,Yeoju Weir,-0.02517534605359445,0.4818762543817526,5,13,13
