metric,group,group_label,year,mean,sd,n_weirs,ci95_low,ci95_high
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2017,7.53626734832568,1.274986775508665,5,6.41869216494903,8.653842531702331
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2018,7.865450319534641,2.069109227159831,5,6.051796116692477,9.679104522376804
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2019,4.597209168031829,1.3558931050450043,5,3.4087164600151025,5.785701876048555
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2020,5.467086143361373,1.245720732539355,5,4.375163777697351,6.559008509025395
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2021,6.066055751417446,0.9035636261627527,5,5.274047312899766,6.858064189935126
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2022,6.4285238139028085,0.904138700665248,5,5.636011300358684,7.221036327446933
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2023,6.593220169163414,0.5927106179933957,5,6.07368640589831,7.112753932428517
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2024,6.682155292656316,1.0121605477525364,5,5.794957455400423,7.5693531299122085
harmful_cyanobacteria_total_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2025,6.388041156784314,0.7839899434595655,5,5.700843672341606,7.075238641227021
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2017,2.6046899612506786,4.5114553508507855,3,-2.5005023628006517,7.709882285302009
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2018,4.406831047155131,2.5818340045097083,3,1.4852108344421762,7.3284512598680855
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2019,4.711364334188624,2.5930357535942417,3,1.7770681490909435,7.645660519286304
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2020,2.2783729170651674,3.9462576509457814,3,-2.187238000382561,6.743983834512896
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2021,2.7656111154844307,4.421223284508861,3,-2.237474013294489,7.76869624426335
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2022,2.8247108606517215,4.892542727340392,3,-2.7117224262256525,8.361144147529096
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2023,2.5214289075277443,4.367242975510941,3,-2.420571751226634,7.463429566282123
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2024,3.0981819108159496,5.366208480624054,3,-2.9742546343833127,9.170618456015212
harmful_cyanobacteria_total_log1p_mean,stayed_closed_or_source_summary_examples,No opening documented (3 weirs),2025,2.8636443838703314,4.959977567672687,3,-2.7490986085155185,8.47638737625618
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2017,7.683585262902363,3.292464301604297,8,5.402023905112915,9.965146620691812
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2018,8.481630253115027,2.239271212993553,8,6.929894470683931,10.033366035546123
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2019,8.1711457376982,2.3442788065135667,8,6.546643405442104,9.795648069954296
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2020,6.7681972028809145,1.852641342311028,8,5.484382251751333,8.052012154010496
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2021,7.00139025239278,2.9234266146884678,8,4.975558964516281,9.027221540269279
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2022,7.954569267734324,3.314442477244539,8,5.657777811252219,10.251360724216429
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2023,6.776979314819631,2.9007722704038383,8,4.766846686600788,8.787111943038473
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2024,7.921151520373506,3.414617761430299,8,5.55494213359146,10.287360907155552
harmful_cyanobacteria_total_log1p_mean,comparison_or_unresolved,Operation record unresolved (8 weirs),2025,7.887221779709073,3.23485326330885,8,5.645582834652535,10.12886072476561
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2017,3.876125306408455,0.12241860229904605,5,3.768820670359593,3.983429942457317
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2018,3.912923162989229,0.21597403813518584,5,3.7236135717762293,4.1022327542022285
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2019,4.043072458938751,0.213688310501512,5,3.855766396333593,4.2303785215439085
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2020,3.616135373613085,0.5334721329088159,5,3.1485264319250064,4.083744315301163
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2021,3.9995384085038976,0.399979368817788,5,3.6489410336604764,4.350135783347318
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2022,3.707324037076107,0.322725594836997,5,3.4244425807673515,3.9902054933848623
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2023,3.605867781134305,0.22311373112554683,5,3.4102999730862544,3.801435589182356
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2024,3.503660587661912,0.1410669228503626,5,3.3800099779448214,3.6273111973790026
chlorophyll_a_log1p_mean,documented_opened_examples,Opening event documented (5 weirs),2025,3.7144832211102363,0.24337273466377193,5,3.501157613507577,3.927808828712896
