variant_id,mask_type,n_pairs,pooled_effect,exact_permutations,primary_p_one_sided_positive,primary_p_two_sided,secondary_ci_low,secondary_ci_high,secondary_p_value,secondary_ci_includes_zero,primary_significant_at_0p05,sign
V00,current_persistent_water,16,0.01246079928833,65536,0.1410369873046875,0.282073974609375,-0.0114215459502328,0.036343144526893,0.2836017294211912,True,False,positive
V01,current_persistent_water,13,0.0115409871053554,8192,0.1944580078125,0.388916015625,-0.0166925850820258,0.0397745592927367,0.3906352735659096,True,False,positive
V02,current_persistent_water,15,0.0119828849940607,32768,0.16546630859375,0.3309326171875,-0.0136847932122368,0.0376505632003584,0.3336807349595586,True,False,positive
V03,current_persistent_water,13,0.0115409871053554,8192,0.1944580078125,0.388916015625,-0.0166925850820258,0.0397745592927367,0.3906352735659096,True,False,positive
V04,fixed_pre_water_2000_2011,15,0.0072267332536901,32768,0.278167724609375,0.55633544921875,-0.0188073712802839,0.0332608377876642,0.5611006898645209,True,False,positive
V05,high_occurrence_70,16,0.0075061779691249,65536,0.261627197265625,0.52325439453125,-0.0171962832143553,0.0322086391526052,0.5269879592964464,True,False,positive
V06,channel_center_eroded_90m,16,-0.0012276428270138,65536,0.5393524169921875,0.92132568359375,-0.0274599690451912,0.0250046833911635,0.9218642260796712,True,False,negative
V07,shoreline_littoral_excluded_60m,16,0.0031314070405594,65536,0.4023895263671875,0.804779052734375,-0.0238020030042274,0.0300648170853463,0.8076397311011242,True,False,positive
