window,specification,aggregation,index,endpoint,association,common_support_association,paired_delta_chla_minus_cyano,n_rows,n_estimable_weirs,n_common_weirs,n_cells,singleton_cells,cells_le_2,median_cell_size,full_ci_low,full_ci_high,full_finite_draws,common_ci_low,common_ci_high,common_finite_draws,delta_ci_low,delta_ci_high,delta_finite_draws,bootstrap_draws,bootstrap_seed,p_method
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.18940351140876194,0.18940351140876194,0.24098749922715756,756,13,13,102,10,17,7,0.05406409271784237,0.31568333542818044,3000,0.055805213291558652,0.31557908622332537,3000,0.13485808481289152,0.35986396897751066,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,0.18201035027082002,0.2219873208105394,0.084686642795577166,756,16,13,102,10,17,7,0.11367457593718776,0.24502005315598716,3000,0.1620867870749815,0.27841060219391822,3000,-0.031125256428664066,0.21147318819319844,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.13730067801496224,0.13730067801496224,0.084686642795577166,756,13,13,102,10,17,7,0.03865804749315141,0.22777198481166919,3000,0.039015563385243493,0.22962804586664631,3000,-0.031125256428664066,0.21147318819319844,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,ndci,chlorophyll_a,0.41512601732339677,0.4246265875604624,0.27327837960765838,756,16,13,102,10,17,7,0.33412079950325257,0.47821191706411453,3000,0.34738347931055125,0.48923769594777156,3000,0.16003314420930026,0.3897601290000885,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,ndci,harmful_cyanobacteria,0.15134820795280401,0.15134820795280401,0.27327837960765838,756,13,13,102,10,17,7,0.047680589224753031,0.2718526922512518,3000,0.044249262223674167,0.27451161478510766,3000,0.16003314420930026,0.3897601290000885,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,fai,chlorophyll_a,0.18678669455719765,0.19203102889212223,0.06909628979545461,756,16,13,102,10,17,7,0.13449794122582448,0.25878240218897186,3000,0.14057063720378826,0.26388136739815171,3000,-0.039900659880165341,0.19597350760054355,3000,3000,20260815,not_computed_ci_primary
pm1_2017_2025,site_by_calendar_month_pearson,equal_per_observation,fai,harmful_cyanobacteria,0.12293473909666762,0.12293473909666762,0.06909628979545461,756,13,13,102,10,17,7,0.028386650661676276,0.22248274223856457,3000,0.034938771365820777,0.22585085951564393,3000,-0.039900659880165341,0.19597350760054355,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.46380000165677671,0.43226108696707544,0.045203773666750879,1142,16,13,104,8,8,10,0.39530462721325682,0.52985242832449653,3000,0.35970356507544665,0.50207035508650133,3000,-0.052163869310235339,0.15294278254562069,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.38705731330032456,0.38705731330032456,0.045203773666750879,1142,13,13,104,8,8,10,0.28440793231560046,0.47622170020250487,3000,0.28847103544827574,0.47683789061735821,3000,-0.052163869310235339,0.15294278254562069,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,0.17762405789407223,0.18729812501140031,-0.0073954063234282219,1142,16,13,104,8,8,10,0.10230898760467219,0.25273497245187199,3000,0.090940686858733411,0.2799497155058141,3000,-0.15242230024433259,0.15787732318513933,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.19469353133482853,0.19469353133482853,-0.0073954063234282219,1142,13,13,104,8,8,10,0.098484435199884104,0.28163084368717839,3000,0.094984106931099779,0.28241471309272809,3000,-0.15242230024433259,0.15787732318513933,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,0.43808870695520385,0.41945491684730934,0.042661187705973935,1142,16,13,104,8,8,10,0.37197904779197355,0.5068120285147879,3000,0.3536800209055555,0.48775459341203453,3000,-0.026268107603212076,0.12014023196117368,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,0.37679372914133541,0.37679372914133541,0.042661187705973935,1142,13,13,104,8,8,10,0.28300813998944896,0.46135817731089401,3000,0.287257315458747,0.4614082687937005,3000,-0.026268107603212076,0.12014023196117368,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,0.16283020812843027,0.16745598990297525,-0.038385311543078893,1142,16,13,104,8,8,10,0.10041794606778132,0.23476190166702768,3000,0.10136846553404577,0.24196045892265899,3000,-0.15819657923000299,0.10685422226988055,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,0.20584130144605414,0.20584130144605414,-0.038385311543078893,1142,13,13,104,8,8,10,0.10789893717461145,0.29350740186640639,3000,0.10786413066657614,0.29292606029916396,3000,-0.15819657923000299,0.10685422226988055,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.47605876820925463,0.44764737933972615,0.0012397143826718415,1142,16,13,104,8,8,10,0.39168460441449349,0.5498984541186952,3000,0.35933406811683183,0.52964294579471283,3000,-0.099842885583792743,0.10930421204219072,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.44640766495705431,0.44640766495705431,0.0012397143826718415,1142,13,13,104,8,8,10,0.33604639439642192,0.53843099804407102,3000,0.34013840968293951,0.54112953934483554,3000,-0.099842885583792743,0.10930421204219072,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,fai,chlorophyll_a,0.19594395228111577,0.18826455585008911,-0.099018938680035362,1142,16,13,104,8,8,10,0.11112372299866466,0.28739115137690791,3000,0.087855672721151884,0.29065887411338437,3000,-0.25034636364150287,0.091719379289524408,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.28728349453012447,0.28728349453012447,-0.099018938680035362,1142,13,13,104,8,8,10,0.17789268371683983,0.38379599144283688,3000,0.17232181104843441,0.38317090473509602,3000,-0.25034636364150287,0.091719379289524408,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,within_weir_percentile_midrank,equal_per_observation,ndci,chlorophyll_a,0.46150945953532102,0.44545421601941015,0.0038971076600674559,1142,16,13,104,8,8,10,0.39042860117772049,0.53300635025994347,3000,0.36332605557128689,0.52137817467669489,3000,-0.077748914080099166,0.09041697049812468,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,within_weir_percentile_midrank,equal_per_observation,ndci,harmful_cyanobacteria,0.4415571083593427,0.4415571083593427,0.0038971076600674559,1142,13,13,104,8,8,10,0.34355477002909401,0.52975356416311115,3000,0.34701916525667514,0.53506586212809859,3000,-0.077748914080099166,0.09041697049812468,3000,3000,20260815,not_computed_ci_primary
pm2_2017_2025,within_weir_percentile_midrank,equal_per_observation,fai,chlorophyll_a,0.17650783661709787,0.16998523477411021,-0.11798531115293187,1142,16,13,104,8,8,10,0.10285016392595658,0.25224729657873296,3000,0.09092039960780271,0.25973521495809543,3000,-0.24390743967800407,0.040914756972613452,3000,3000,20260815,not_computed_ci_primary
