window,specification,aggregation,index,endpoint,omitted_weir,association,estimable,n_estimable_weirs,n_common_weirs,common_support_association,paired_delta_chla_minus_cyano,is_endpoint_contrast
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Baekje Weir,0.23281922091629348,True,15,12,0.22212804659900293,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Baekje Weir,0.1737137374215755,True,12,12,0.1737137374215755,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Changnyeong-Haman Weir,0.22146838654520462,True,15,12,0.20785924202756939,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Changnyeong-Haman Weir,0.1594724465665015,True,12,12,0.1594724465665015,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Chilgok Weir,0.23751930912909405,True,15,12,0.2280320276864824,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Chilgok Weir,0.18782183643945832,True,12,12,0.18782183643945832,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Dalseong Weir,0.22667230573741626,True,15,12,0.21440269781203897,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Dalseong Weir,0.19679116129099275,True,12,12,0.19679116129099275,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Gangcheon Weir,0.2260723272857825,True,15,13,0.21743285588597983,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Gangcheon Weir,0.19676390194507848,True,13,13,0.19676390194507848,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Gangjeong-Goryeong Weir,0.2337095192271067,True,15,12,0.22324659523534984,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Gangjeong-Goryeong Weir,0.19736387336632288,True,12,12,0.19736387336632288,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Gongju Weir,0.21237760515078621,True,15,12,0.19642194836590982,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Gongju Weir,0.2293596667475585,True,12,12,0.2293596667475585,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Gumi Weir,0.23976106617713308,True,15,12,0.23084701998086479,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Gumi Weir,0.20467180164364218,True,12,12,0.20467180164364218,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Hapcheon-Changnyeong Weir,0.23262245058508721,True,15,12,0.22188081647243535,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Hapcheon-Changnyeong Weir,0.18944870061217595,True,12,12,0.18944870061217595,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Ipo Weir,0.22697271830564261,True,15,13,0.21743285588597983,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Ipo Weir,0.19676390194507848,True,13,13,0.19676390194507848,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Juksan Weir,0.23109568793338719,True,15,12,0.21996237528303081,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Juksan Weir,0.17189184034530886,True,12,12,0.17189184034530886,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Nakdan Weir,0.22305858370832934,True,15,12,0.20985907216016342,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Nakdan Weir,0.20499201753223664,True,12,12,0.20499201753223664,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Sangju Weir,0.22838855676680936,True,15,12,0.21656008783640152,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Sangju Weir,0.20631470267506305,True,12,12,0.20631470267506305,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Sejong Weir,0.20250886262510717,True,15,12,0.18399774817082823,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Sejong Weir,0.22318359385542896,True,12,12,0.22318359385542896,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Seungchon Weir,0.25558810481340294,True,15,12,0.2507015502420632,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Seungchon Weir,0.21191319920968946,True,12,12,0.21191319920968946,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,Yeoju Weir,0.22257244263304979,True,15,13,0.21743285588597983,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,Yeoju Weir,0.19676390194507848,True,13,13,0.19676390194507848,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Baekje Weir,0.45174282264074539,True,15,12,0.43908425326965039,0.054546525458162631,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Baekje Weir,0.38453772781148776,True,12,12,0.38453772781148776,0.054546525458162631,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Changnyeong-Haman Weir,0.43337755378370796,True,15,12,0.42069954716398672,0.07792986553593434,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Changnyeong-Haman Weir,0.34276968162805238,True,12,12,0.34276968162805238,0.07792986553593434,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Chilgok Weir,0.43948103369595692,True,15,12,0.42709450094931756,0.080813949132681584,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Chilgok Weir,0.34628055181663597,True,12,12,0.34628055181663597,0.080813949132681584,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Dalseong Weir,0.42875478333795364,True,15,12,0.41534724237113285,0.090804835830908648,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Dalseong Weir,0.3245424065402242,True,12,12,0.3245424065402242,0.090804835830908648,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Gangcheon Weir,0.43826568868447952,True,15,13,0.42965746125809862,0.073403612167595278,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Gangcheon Weir,0.35625384909050334,True,13,13,0.35625384909050334,0.073403612167595278,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Gangjeong-Goryeong Weir,0.42682682203874922,True,15,12,0.41359078619136319,0.074418263577047339,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Gangjeong-Goryeong Weir,0.33917252261431585,True,12,12,0.33917252261431585,0.074418263577047339,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Gongju Weir,0.45690321058460592,True,15,12,0.44610263070636569,0.068625060109466229,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Gongju Weir,0.37747757059689946,True,12,12,0.37747757059689946,0.068625060109466229,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Gumi Weir,0.45729708902511235,True,15,12,0.44593468757191829,0.076238736642228466,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Gumi Weir,0.36969595092968982,True,12,12,0.36969595092968982,0.076238736642228466,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Hapcheon-Changnyeong Weir,0.43308713364312668,True,15,12,0.41968819355169923,0.072334332361820408,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Hapcheon-Changnyeong Weir,0.34735386118987882,True,12,12,0.34735386118987882,0.072334332361820408,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Ipo Weir,0.43365460517799137,True,15,13,0.42965746125809862,0.073403612167595278,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Ipo Weir,0.35625384909050334,True,13,13,0.35625384909050334,0.073403612167595278,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Juksan Weir,0.4488433481999996,True,15,12,0.43742671380138198,0.093780207364556001,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Juksan Weir,0.34364650643682598,True,12,12,0.34364650643682598,0.093780207364556001,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Nakdan Weir,0.44382541783210588,True,15,12,0.43190119862485299,0.066423728256620462,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Nakdan Weir,0.36547747036823253,True,12,12,0.36547747036823253,0.066423728256620462,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Sangju Weir,0.44365580132739374,True,15,12,0.43153865357832688,0.080547585527282306,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Sangju Weir,0.35099106805104457,True,12,12,0.35099106805104457,0.080547585527282306,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Sejong Weir,0.43598946862856597,True,15,12,0.42364115539154595,0.042028629778543103,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Sejong Weir,0.38161252561300285,True,12,12,0.38161252561300285,0.042028629778543103,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Seungchon Weir,0.44650168971788329,True,15,12,0.43500485189503757,0.075786098219161657,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Seungchon Weir,0.35921875367587591,True,12,12,0.35921875367587591,0.075786098219161657,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,chlorophyll_a,Yeoju Weir,0.44021010157082469,True,15,13,0.42965746125809862,0.073403612167595278,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,ndci,harmful_cyanobacteria,Yeoju Weir,0.35625384909050334,True,13,13,0.35625384909050334,0.073403612167595278,True
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Baekje Weir,0.17775164639973312,True,15,12,0.17947036707790662,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Baekje Weir,0.16327128628711401,True,12,12,0.16327128628711401,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Changnyeong-Haman Weir,0.17016155688128168,True,15,12,0.17147253899712783,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Changnyeong-Haman Weir,0.18179801650841321,True,12,12,0.18179801650841321,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Chilgok Weir,0.18286069346488751,True,15,12,0.18494784312747078,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Chilgok Weir,0.18769420077817658,True,12,12,0.18769420077817658,,False
