weir_name,station_code,year,harmful_cyanobacteria_total_mean,harmful_cyanobacteria_total_median,harmful_cyanobacteria_total_max,harmful_cyanobacteria_total_log1p_mean,harmful_cyanobacteria_total_n,first_snapshot_x,first_locator_x,season_scope,chlorophyll_a_mean,chlorophyll_a_median,chlorophyll_a_max,chlorophyll_a_log1p_mean,chlorophyll_a_n,first_snapshot_y,first_locator_y,ndci_mean,fai_mean,ndci_exceedance_share_gt_0p00_descriptive,fai_exceedance_share_gt_0p00_descriptive,weir_code,tau_days,gate0_group,tau_robustness_flag,opened,post_open,late_post,log1p_harmful_cyanobacteria_total_mean,log1p_chlorophyll_a_mean,river
강천보,1007A20,2018,17.934782608695652,0.0,480.0,2.941000580363408,46,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_01.xml,all_2018_01.xml#item[105],annual_all_samples,9.35531914893617,7.2,37.1,2.33750031512935,47,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_01.xml,all_2018_01.xml#item[105],-0.056949854289709,-0.0072596456653497,0.228173403395408,0.1097980027115619,1007601,0.53727,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,1,0,2.941000580363408,2.33750031512935,한강(남한강)
강천보,1007A20,2019,19.102040816326532,0.0,420.0,3.0008213430614625,49,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_01.xml,all_2019_01.xml#item[131],annual_all_samples,8.706122448979592,5.6,45.3,2.272756866706,49,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2019_01.xml,all_2019_01.xml#item[131],-0.0397457068193942,0.0036057146970624,0.2385090326382591,0.1959788717487613,1007601,0.917014,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,1,1,3.0008213430614625,2.272756866706,한강(남한강)
강천보,1007A20,2020,0.0,0.0,0.0,0.0,41,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[130],annual_all_samples,5.529268292682927,4.3,15.5,1.876294883821999,41,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2020_01.xml,all_2020_01.xml#item[130],-0.0199393146656517,0.007136213409557,0.3533650861247192,0.303615222253334,1007601,0.346453,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,1,1,0.0,1.876294883821999,한강(남한강)
강천보,1007A20,2021,0.0,0.0,0.0,0.0,40,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_01.xml,all_2021_01.xml#item[109],annual_all_samples,7.68,5.25,21.9,2.1610215286722587,40,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2021_01.xml,all_2021_01.xml#item[109],-0.0155279608932339,0.0044695592052726,0.3555931555686008,0.2988699138815562,1007601,0.68242,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,1,1,0.0,2.1610215286722587,한강(남한강)
강천보,1007A20,2022,0.0,0.0,0.0,0.0,34,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2022_02.xml,all_2022_02.xml#item[110],annual_all_samples,5.797058823529412,4.0,19.7,1.9164899926641736,34,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2022_02.xml,all_2022_02.xml#item[110],-0.0403010640511842,0.0031323662537724,0.3236220578308569,0.2126791743689209,1007601,0.383628,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,1,1,0.0,1.9164899926641736,한강(남한강)
강천보,1007A20,2023,0.0,0.0,0.0,0.0,28,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2023_02.xml,all_2023_02.xml#item[109],annual_all_samples,8.925,9.7,20.8,2.295056826573254,28,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2023_02.xml,all_2023_02.xml#item[109],-0.0224372991958344,-0.006063973498527,0.2804544591779167,0.1719349969972374,1007601,0.367188,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,1,1,0.0,2.295056826573254,한강(남한강)
강천보,1007A20,2024,0.0,0.0,0.0,0.0,34,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2024_01.xml,all_2024_01.xml#item[107],annual_all_samples,6.694117647058824,3.9,28.2,2.040456094966882,34,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2024_01.xml,all_2024_01.xml#item[107],-0.0145816941962396,0.0024796415231265,0.3987901242491899,0.2330270170555608,1007601,0.423615,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,1,1,0.0,2.040456094966882,한강(남한강)
강천보,1007A20,2025,0.0,0.0,0.0,0.0,27,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2025_01.xml,all_2025_01.xml#item[134],annual_all_samples,7.0,7.6,13.7,2.0794415416798357,27,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2025_01.xml,all_2025_01.xml#item[134],-0.0863942794195626,0.0008210462217789,0.2886471979522078,0.2439322165684617,1007601,0.567365,stayed_closed_or_source_summary_examples,robust_candidate_no_low_flow_flag,0,1,1,0.0,2.0794415416798357,한강(남한강)
공주보,3012A32,2017,1206.5438596491229,0.0,13070.0,7.0963437075578595,57,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[156],annual_all_samples,58.83157894736842,61.8,147.5,4.091533597616451,57,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2017_01.xml,all_2017_01.xml#item[156],-0.0129289410018394,0.0020288146353125,0.3688956666457763,0.3710369271692884,3012601,1.7962,documented_opened_examples,contains_near_zero_or_nonpositive_discharge,1,0,0,7.0963437075578595,4.091533597616451,금강
공주보,3012A32,2018,1876.888888888889,0.0,14130.0,7.537903493422009,54,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_01.xml,all_2018_01.xml#item[149],annual_all_samples,57.257407407407406,21.700000000000003,209.9,4.0648712501533275,54,Round_6/log/source_snapshots/datagokr_algae_full_2017_2025_20260630_0951/all_2018_01.xml,all_2018_01.xml#item[149],0.0301555056058219,0.0033398477263215,0.5399075253991797,0.2701121811610855,3012601,0.459468,documented_opened_examples,robust_candidate_no_low_flow_flag,1,1,0,7.537903493422009,4.0648712501533275,금강
