site,date,component_rows,scene_ids,product_ids,tiles,utc_timestamps,ndci_component_values,ndci_component_counts,ndci_weighted_numerator,ndci_valid_pixels,ndci_mean,fai_component_values,fai_component_counts,fai_weighted_numerator,fai_valid_pixels,fai_mean
Chilgok Weir,2022-05-04,1,20220504T020701_20220504T021642_T52SDE,S2A_MSIL2A_20220504T020701_N0400_R103_T52SDE_20220504T052914,52SDE,2022-05-04T02:17:46.255000+00:00,-0.060967696782760698,8387,-511.33607291701395,8387,-0.060967696782760698,-0.0041442262096443002,8387,-34.757625220286748,8387,-0.0041442262096443002
Chilgok Weir,2022-05-17,1,20220517T021611_20220517T022234_T52SDE,S2A_MSIL2A_20220517T021611_N0400_R003_T52SDE_20220517T055107,52SDE,2022-05-17T02:27:42.483000+00:00,0.033886354596741997,8387,284.20485600287515,8387,0.033886354596741997,0.020336350240560901,8387,170.56096946758427,8387,0.020336350240560901
Chilgok Weir,2022-05-22,1,20220522T021609_20220522T022240_T52SDE,S2B_MSIL2A_20220522T021609_N0400_R003_T52SDE_20220522T050008,52SDE,2022-05-22T02:27:37.379000+00:00,0.02976794038053,8387,249.6637159715051,8387,0.02976794038053,0.016202466811555499,8387,135.89008914851595,8387,0.016202466811555499
Chilgok Weir,2022-05-24,1,20220524T020701_20220524T021301_T52SDE,S2A_MSIL2A_20220524T020701_N0510_R103_T52SDE_20240616T112904,52SDE,2022-05-24T02:17:47.867000+00:00,-0.088321241682312202,8387,-740.75025398955245,8387,-0.088321241682312202,-0.0075715865762991004,8387,-63.502896615420553,8387,-0.0075715865762991004
Chilgok Weir,2022-05-27,1,20220527T021611_20220527T022236_T52SDE,S2A_MSIL2A_20220527T021611_N0400_R003_T52SDE_20220527T054614,52SDE,2022-05-27T02:27:44.789000+00:00,0.0314702815897102,8387,263.94125169289947,8387,0.0314702815897102,0.0144546288383385,8387,121.230972067145,8387,0.0144546288383385
Chilgok Weir,2022-06-03,1,20220603T020701_20220603T021559_T52SDE,S2A_MSIL2A_20220603T020701_N0400_R103_T52SDE_20220603T055620,52SDE,2022-06-03T02:17:49.267000+00:00,0.015996922153968501,8387,134.16618610533382,8387,0.015996922153968501,0.0032372314162352998,8387,27.15065988796546,8387,0.0032372314162352998
Chilgok Weir,2022-06-16,1,20220616T021541_20220616T022208_T52SDE,S2A_MSIL2A_20220616T021541_N0400_R003_T52SDE_20220616T054811,52SDE,2022-06-16T02:27:45.586000+00:00,0.042379611767139301,8387,355.43780389099732,8387,0.042379611767139301,0.025693834650092302,8387,215.49419121032415,8387,0.025693834650092302
Chilgok Weir,2022-06-18,1,20220618T020659_20220618T021309_T52SDE,S2B_MSIL2A_20220618T020659_N0400_R103_T52SDE_20220618T043051,52SDE,2022-06-18T02:17:45.506000+00:00,0.12624785062719451,8387,1058.8407232102804,8387,0.12624785062719451,-0.0062740430966045004,8387,-52.620399451221942,8387,-0.0062740430966045004
Chilgok Weir,2022-06-21,1,20220621T021539_20220621T022216_T52SDE,S2B_MSIL2A_20220621T021539_N0400_R003_T52SDE_20220621T045243,52SDE,2022-06-21T02:27:41.876000+00:00,0.10335407131960631,8387,866.83059615753814,8387,0.10335407131960631,0.0274148919236353,8387,229.92869856352925,8387,0.0274148919236353
Chilgok Weir,2022-07-01,1,20220701T021539_20220701T022213_T52SDE,S2B_MSIL2A_20220701T021539_N0400_R003_T52SDE_20220701T043554,52SDE,2022-07-01T02:27:42.482000+00:00,0.030889100378631799,8387,259.06688487558489,8387,0.030889100378631799,0.0098315654858738,8387,82.457339730023563,8387,0.0098315654858738
Chilgok Weir,2022-08-22,1,20220822T020711_20220822T021658_T52SDE,S2A_MSIL2A_20220822T020711_N0400_R103_T52SDE_20220824T143002,52SDE,2022-08-22T02:17:54.051000+00:00,-0.010412434522894301,8387,-87.329088343514499,8387,-0.010412434522894301,-0.0035453929890371001,8387,-29.735210999054157,8387,-0.0035453929890371001
Chilgok Weir,2022-09-09,1,20220909T021539_20220909T022159_T52SDE,S2B_MSIL2A_20220909T021539_N0400_R003_T52SDE_20220909T043406,52SDE,2022-09-09T02:27:36.575000+00:00,-0.051283576222735702,8387,-430.11535378008432,8387,-0.051283576222735702,-0.018594224387863501,8387,-155.94975994101119,8387,-0.018594224387863501
Chilgok Weir,2022-09-24,1,20220924T021541_20220924T022204_T52SDE,S2A_MSIL2A_20220924T021541_N0400_R003_T52SDE_20220924T054059,52SDE,2022-09-24T02:27:41.633000+00:00,-0.018318736545930799,8387,-153.6392434107216,8387,-0.018318736545930799,-0.0012938690597154,8387,-10.85167980383306,8387,-0.0012938690597154
Chilgok Weir,2022-09-29,1,20220929T021529_20220929T022606_T52SDE,S2B_MSIL2A_20220929T021529_N0400_R003_T52SDE_20220929T051901,52SDE,2022-09-29T02:27:37.138000+00:00,-0.011273062730424501,8387,-94.547177120070288,8387,-0.011273062730424501,-0.0022644615744444002,8387,-18.992039224865184,8387,-0.0022644615744444002
Chilgok Weir,2022-10-01,1,20221001T020701_20221001T021301_T52SDE,S2A_MSIL2A_20221001T020701_N0400_R103_T52SDE_20221001T052952,52SDE,2022-10-01T02:17:48.649000+00:00,0.0054012155769245004,8387,45.299995043665781,8387,0.0054012155769245004,-0.00027571841015449998,8387,-2.3124503059657915,8387,-0.00027571841015449998
Chilgok Weir,2022-10-11,1,20221011T020701_20221011T021300_T52SDE,S2A_MSIL2A_20221011T020701_N0400_R103_T52SDE_20221011T052455,52SDE,2022-10-11T02:17:47.042000+00:00,0.020159093474072201,8387,169.07431696704356,8387,0.020159093474072201,-0.0031562057052556998,8387,-26.471097249979554,8387,-0.0031562057052556998
Chilgok Weir,2022-10-14,1,20221014T021641_20221014T022306_T52SDE,S2A_MSIL2A_20221014T021641_N0400_R003_T52SDE_20221014T054257,52SDE,2022-10-14T02:27:41.921000+00:00,0.033754136393231701,8387,283.09594193003426,8387,0.033754136393231701,-0.0018709141257886,8387,-15.691356772988989,8387,-0.0018709141257886
Chilgok Weir,2022-10-16,1,20221016T020649_20221016T021304_T52SDE,S2B_MSIL2A_20221016T020649_N0400_R103_T52SDE_20221016T042307,52SDE,2022-10-16T02:17:40.621000+00:00,-0.017531118912373599,8386,-147.01596319916499,8386,-0.017531118912373599,-0.004836154422107,8386,-40.5559909837893,8386,-0.004836154422107
Chilgok Weir,2022-10-19,1,20221019T021709_20221019T022253_T52SDE,S2B_MSIL2A_20221019T021709_N0400_R003_T52SDE_20221019T043130,52SDE,2022-10-19T02:27:36.743000+00:00,-0.0240689218117696,8387,-201.86604723531164,8387,-0.0240689218117696,-0.0048687922077109997,8387,-40.834560246072158,8387,-0.0048687922077109997
Chilgok Weir,2022-10-26,1,20221026T020749_20221026T021400_T52SDE,S2B_MSIL2A_20221026T020749_N0400_R103_T52SDE_20221026T042127,52SDE,2022-10-26T02:17:40.602000+00:00,-0.058118031996271899,8387,-487.43593435273243,8387,-0.058118031996271899,-0.0047911157474464002,8387,-40.183087773832959,8387,-0.0047911157474464002
Chilgok Weir,2022-10-31,1,20221031T020821_20221031T021424_T52SDE,S2A_MSIL2A_20221031T020821_N0400_R103_T52SDE_20221031T052455,52SDE,2022-10-31T02:17:45.247000+00:00,0.031172280988802498,8387,261.44192065308653,8387,0.031172280988802495,0.027201001602531898,8387,228.13480044043504,8387,0.027201001602531898
Chilgok Weir,2023-05-09,1,20230509T020651_20230509T021248_T52SDE,S2A_MSIL2A_20230509T020651_N0509_R103_T52SDE_20230509T051551,52SDE,2023-05-09T02:17:41.087000+00:00,-0.019438360652326001,8387,-163.02953079105816,8387,-0.019438360652326001,0.0051762512929506999,8387,43.413219593977523,8387,0.0051762512929506999
Chilgok Weir,2023-05-14,1,20230514T020659_20230514T021257_T52SDE,S2B_MSIL2A_20230514T020659_N0509_R103_T52SDE_20230514T042809,52SDE,2023-05-14T02:17:44.853000+00:00,-0.054316750362058797,8387,-455.55458528658716,8387,-0.054316750362058797,-0.0069316768502278,8387,-58.135973742860557,8387,-0.0069316768502278
Chilgok Weir,2023-05-17,1,20230517T021539_20230517T022202_T52SDE,S2B_MSIL2A_20230517T021539_N0509_R003_T52SDE_20230517T044103,52SDE,2023-05-17T02:27:39.333000+00:00,0.0272191452447989,8387,228.28697116812839,8387,0.0272191452447989,0.017917166087949701,8387,150.27127197963415,8387,0.017917166087949701
Chilgok Weir,2023-06-06,1,20230606T021539_20230606T022202_T52SDE,S2B_MSIL2A_20230606T021539_N0509_R003_T52SDE_20230606T043948,52SDE,2023-06-06T02:27:39.386000+00:00,-0.0027024102180601001,8387,-22.665114498870061,8387,-0.0027024102180601001,0.0081249541941973997,8387,68.143990826733585,8387,0.0081249541941973997
Chilgok Weir,2023-06-16,1,20230616T021539_20230616T022203_T52SDE,S2B_MSIL2A_20230616T021539_N0509_R003_T52SDE_20230616T043833,52SDE,2023-06-16T02:27:40.006000+00:00,0.037617564689395901,8387,315.49851504996343,8387,0.037617564689395901,0.0296640583904321,8387,248.79245772055401,8387,0.0296640583904321
Chilgok Weir,2023-06-23,1,20230623T020659_20230623T021723_T52SDE,S2B_MSIL2A_20230623T020659_N0509_R103_T52SDE_20230623T055723,52SDE,2023-06-23T02:17:45.235000+00:00,-0.1139711062270163,8387,-955.87566792598568,8387,-0.1139711062270163,-0.0025490386825948999,8387,-21.378787430923424,8387,-0.0025490386825948999
Chilgok Weir,2023-08-05,1,20230805T021539_20230805T022202_T52SDE,S2B_MSIL2A_20230805T021539_N0509_R003_T52SDE_20230805T044141,52SDE,2023-08-05T02:27:39.528000+00:00,0.028334117518401699,8387,237.63824362683505,8387,0.028334117518401699,0.0010264675722272,8387,8.6089835282695262,8387,0.0010264675722272
Chilgok Weir,2023-08-15,1,20230815T021539_20230815T021939_T52SDE,S2B_MSIL2A_20230815T021539_N0509_R003_T52SDE_20230815T052653,52SDE,2023-08-15T02:27:42.908000+00:00,-0.0122975293546265,8387,-103.13937869725245,8387,-0.0122975293546265,-0.059433405947253298,8387,-498.4679756796134,8387,-0.059433405947253298
Chilgok Weir,2023-09-09,1,20230909T021541_20230909T022102_T52SDE,S2A_MSIL2A_20230909T021541_N0509_R003_T52SDE_20230909T072557,52SDE,2023-09-09T02:27:42.482000+00:00,0.050802084517495898,8387,426.07708284823809,8387,0.050802084517495898,0.0080912689462598001,8387,67.861472652280938,8387,0.0080912689462598001
Chilgok Weir,2023-09-24,1,20230924T021539_20230924T022642_T52SDE,S2B_MSIL2A_20230924T021539_N0509_R003_T52SDE_20230924T053147,52SDE,2023-09-24T02:27:40.832000+00:00,0.017284037873892499,8387,144.96122564833638,8387,0.017284037873892499,0.014407608350922099,8387,120.83661123918364,8387,0.014407608350922099
Chilgok Weir,2023-09-29,1,20230929T021531_20230929T022200_T52SDE,S2A_MSIL2A_20230929T021531_N0509_R003_T52SDE_20230929T052453,52SDE,2023-09-29T02:27:37.208000+00:00,0.035687351163849697,8387,299.30981421120742,8387,0.035687351163849697,0.043058938508967401,8387,361.13531727470956,8387,0.043058938508967401
Chilgok Weir,2023-10-01,1,20231001T020659_20231001T021254_T52SDE,S2B_MSIL2A_20231001T020659_N0509_R103_T52SDE_20231001T042700,52SDE,2023-10-01T02:17:43.258000+00:00,-0.088748281967153106,8387,-744.33184085851315,8387,-0.088748281967153106,-0.032039559898500297,8387,-268.71578886872197,8387,-0.032039559898500297
Chilgok Weir,2023-10-04,1,20231004T021529_20231004T022639_T52SDE,S2B_MSIL2A_20231004T021529_N0509_R003_T52SDE_20231004T052938,52SDE,2023-10-04T02:27:37.887000+00:00,-0.064847245332702599,8387,-543.87384660537668,8387,-0.064847245332702599,-0.030848407161856401,8387,-258.72559086648965,8387,-0.030848407161856405
Chilgok Weir,2023-10-06,1,20231006T020651_20231006T021253_T52SDE,S2A_MSIL2A_20231006T020651_N0509_R103_T52SDE_20231006T052302,52SDE,2023-10-06T02:17:42.308000+00:00,0.0103878056347061,8387,87.122525858280056,8387,0.0103878056347061,0.0078754070434482008,8387,66.05103887340006,8387,0.0078754070434482008
Chilgok Weir,2023-10-11,1,20231011T020649_20231011T021253_T52SDE,S2B_MSIL2A_20231011T020649_N0509_R103_T52SDE_20231011T042543,52SDE,2023-10-11T02:17:43.111000+00:00,-0.065922938095563002,8387,-552.89568180748688,8387,-0.065922938095563002,-0.024690660042947499,8387,-207.08056578020069,8387,-0.024690660042947499
Chilgok Weir,2023-10-16,1,20231016T020651_20231016T021251_T52SDE,S2A_MSIL2A_20231016T020651_N0509_R103_T52SDE_20231016T051356,52SDE,2023-10-16T02:17:40.259000+00:00,-0.019965521952247101,8387,-167.45083261349643,8387,-0.019965521952247101,-0.0131756794163036,8387,-110.50442326453829,8387,-0.0131756794163036
Chilgok Weir,2023-10-29,1,20231029T021811_20231029T022436_T52SDE,S2A_MSIL2A_20231029T021811_N0509_R003_T52SDE_20231029T052155,52SDE,2023-10-29T02:27:37.047000+00:00,0.034504273782974701,8387,289.38734421780879,8387,0.034504273782974701,-0.010423180840701899,8387,-87.419217710966834,8387,-0.010423180840701899
Chilgok Weir,2023-10-31,1,20231031T020819_20231031T021420_T52SDE,S2B_MSIL2A_20231031T020819_N0509_R103_T52SDE_20231031T042727,52SDE,2023-10-31T02:17:43.661000+00:00,0.017951918032833799,8387,150.56273654137706,8387,0.017951918032833799,-0.0119857930309614,8387,-100.52484615067326,8387,-0.0119857930309614
Chilgok Weir,2024-05-03,1,20240503T020651_20240503T021443_T52SDE,S2A_MSIL2A_20240503T020651_N0510_R103_T52SDE_20240503T061350,52SDE,2024-05-03T02:17:44.228000+00:00,-0.020083694030874,8387,-168.44194183694023,8387,-0.020083694030874,-0.002116932579917,8387,-17.754713547763878,8387,-0.002116932579917
Chilgok Weir,2024-05-13,1,20240513T020651_20240513T021436_T52SDE,S2A_MSIL2A_20240513T020651_N0510_R103_T52SDE_20240513T051859,52SDE,2024-05-13T02:17:44.509000+00:00,-0.00087742667417199996,8387,-7.3589775162805635,8387,-0.00087742667417199996,-0.0031095046455906,8387,-26.079415462568363,8387,-0.0031095046455906
Chilgok Weir,2024-05-16,1,20240516T021611_20240516T022028_T52SDE,S2A_MSIL2A_20240516T021611_N0510_R003_T52SDE_20240516T074100,52SDE,2024-05-16T02:27:39.944000+00:00,0.025646467876030799,8387,215.09692607627031,8387,0.025646467876030799,0.002738011014851,8387,22.963698381555336,8387,0.002738011014851
Chilgok Weir,2024-05-18,1,20240518T020649_20240518T020649_T52SDE,S2B_MSIL2A_20240518T020649_N0510_R103_T52SDE_20240518T040445,52SDE,2024-05-18T02:17:39.699000+00:00,0.037568168008322203,8387,315.08422508579832,8387,0.037568168008322203,0.0084188848632048997,8387,70.609187347699489,8387,0.0084188848632048997
Chilgok Weir,2024-05-31,1,20240531T021529_20240531T021532_T52SDE,S2B_MSIL2A_20240531T021529_N0510_R003_T52SDE_20240531T042042,52SDE,2024-05-31T02:27:37.724000+00:00,0.058389254751219997,8387,489.7106795984821,8387,0.058389254751219997,0.0137768779056498,8387,115.54667499468488,8387,0.0137768779056498
Chilgok Weir,2024-06-10,1,20240610T021539_20240610T021535_T52SDE,S2B_MSIL2A_20240610T021539_N0510_R003_T52SDE_20240610T042021,52SDE,2024-06-10T02:27:40.499000+00:00,0.0581566397397284,8387,487.75973749710209,8387,0.0581566397397284,0.0189758143263433,8387,159.15015475504126,8387,0.0189758143263433
Chilgok Weir,2024-06-12,1,20240612T020701_20240612T021146_T52SDE,S2A_MSIL2A_20240612T020701_N0510_R103_T52SDE_20240612T053459,52SDE,2024-06-12T02:17:47.490000+00:00,0.23328735686951649,8387,1956.5810620646348,8387,0.23328735686951649,-0.0033262280601587002,8387,-27.89707474055102,8387,-0.0033262280601587002
Chilgok Weir,2024-07-05,1,20240705T021541_20240705T022512_T52SDE,S2A_MSIL2A_20240705T021541_N0510_R003_T52SDE_20240705T054449,52SDE,2024-07-05T02:27:39.877000+00:00,0.036626346890934601,8378,306.8555342522501,8378,0.036626346890934601,0.0088638206557997007,8378,74.261089454289888,8378,0.0088638206557997007
Chilgok Weir,2024-07-30,1,20240730T021539_20240730T021533_T52SDE,S2B_MSIL2A_20240730T021539_N0511_R003_T52SDE_20240730T041503,52SDE,2024-07-30T02:27:38.710000+00:00,0.043377222464687497,4298,186.43530215322687,4298,0.043377222464687497,0.046449865400426803,4298,199.64152149103441,4298,0.046449865400426803
Chilgok Weir,2024-08-09,1,20240809T021539_20240809T022639_T52SDE,S2B_MSIL2A_20240809T021539_N0511_R003_T52SDE_20240809T042748,52SDE,2024-08-09T02:27:41.159000+00:00,0.018465944963294002,8387,154.8738804071468,8387,0.018465944963294002,-0.0111404470258547,8387,-93.43492920584336,8387,-0.0111404470258547
Chilgok Weir,2024-08-14,1,20240814T021601_20240814T022230_T52SDE,S2A_MSIL2A_20240814T021601_N0511_R003_T52SDE_20240814T052653,52SDE,2024-08-14T02:27:38.739000+00:00,0.067089026379139494,7605,510.21204561335583,7605,0.067089026379139494,0.0068355054317982,7605,51.984018808825311,7605,0.0068355054317982
Chilgok Weir,2024-08-24,1,20240824T021531_20240824T022206_T52SDE,S2A_MSIL2A_20240824T021531_N0511_R003_T52SDE_20240824T073115,52SDE,2024-08-24T02:27:34.897000+00:00,0.1344641558357258,7522,1011.4393801963295,7522,0.1344641558357258,0.030907439241048801,7522,232.48575797116908,7522,0.030907439241048801
Chilgok Weir,2024-08-31,1,20240831T020651_20240831T020650_T52SDE,S2A_MSIL2A_20240831T020651_N0511_R103_T52SDE_20240831T060051,52SDE,2024-08-31T02:17:40.433000+00:00,0.19487967015784469,8387,1634.4557936138433,8387,0.19487967015784469,0.0027661021828466999,8387,23.199299007535274,8387,0.0027661021828466999
Chilgok Weir,2024-09-05,1,20240905T020659_20240905T020653_T52SDE,S2B_MSIL2A_20240905T020659_N0511_R103_T52SDE_20240905T040210,52SDE,2024-09-05T02:17:43.984000+00:00,0.064450890292390303,8387,540.54961688227752,8387,0.064450890292390303,0.0016062559349931001,8387,13.471668526787131,8387,0.0016062559349931001
Chilgok Weir,2024-09-10,1,20240910T020651_20240910T020650_T52SDE,S2A_MSIL2A_20240910T020651_N0511_R103_T52SDE_20240910T054852,52SDE,2024-09-10T02:17:40.351000+00:00,0.1192429317774289,8387,1000.0904688172961,8387,0.1192429317774289,0.0011889418019193001,8387,9.9716548926971704,8387,0.0011889418019193001
Chilgok Weir,2024-09-23,1,20240923T021531_20240923T022308_T52SDE,S2A_MSIL2A_20240923T021531_N0511_R003_T52SDE_20240923T053200,52SDE,2024-09-23T02:27:38.887000+00:00,0.014279657675245701,3347,47.794014239047364,3347,0.014279657675245703,-0.0044358136803492,3347,-14.846668388128773,3347,-0.0044358136803492
Chilgok Weir,2024-09-30,1,20240930T020651_20240930T020653_T52SDE,S2A_MSIL2A_20240930T020651_N0511_R103_T52SDE_20240930T055753,52SDE,2024-09-30T02:17:43.507000+00:00,-0.0096344208929577992,8387,-80.803888029237058,8387,-0.0096344208929577992,-0.024608115915629902,8387,-206.38826818438798,8387,-0.024608115915629902
Chilgok Weir,2024-10-05,1,20241005T020649_20241005T020652_T52SDE,S2B_MSIL2A_20241005T020649_N0511_R103_T52SDE_20241005T040520,52SDE,2024-10-05T02:17:42.212000+00:00,-0.050087917562194197,8387,-420.08736459412273,8387,-0.050087917562194197,-0.0203709291761992,8387,-170.85098300078269,8387,-0.0203709291761992
Chilgok Weir,2024-10-08,1,20241008T021529_20241008T022704_T52SDE,S2B_MSIL2A_20241008T021529_N0511_R003_T52SDE_20241008T150637,52SDE,2024-10-08T02:27:36.798000+00:00,-0.042511459282367998,8387,-356.54360900122037,8387,-0.042511459282367998,-0.0167542690649163,8387,-140.518054647453,8387,-0.0167542690649163
Chilgok Weir,2024-10-10,1,20241010T020651_20241010T020648_T52SDE,S2A_MSIL2A_20241010T020651_N0511_R103_T52SDE_20241010T055650,52SDE,2024-10-10T02:17:38.369000+00:00,-0.072694661965057306,8387,-609.69012990093563,8387,-0.072694661965057306,-0.0103725711470911,8387,-86.994754210653056,8387,-0.0103725711470911
Chilgok Weir,2024-10-30,1,20241030T020821_20241030T021624_T52SDE,S2A_MSIL2A_20241030T020821_N0511_R103_T52SDE_20241030T051219,52SDE,2024-10-30T02:17:41.912000+00:00,-0.050315740445162703,8387,-421.99811511357962,8387,-0.050315740445162703,-0.013611854863422699,8387,-114.16262673952617,8387,-0.013611854863422699
Chilgok Weir,2025-05-08,1,20250508T020711_20250508T020903_T52SDE,S2C_MSIL2A_20250508T020711_N0511_R103_T52SDE_20250508T055213,52SDE,2025-05-08T02:18:01.140000+00:00,-0.0402508607779066,8387,-337.58396934430266,8387,-0.0402508607779066,0.0053938291542295997,8387,45.238045116523651,8387,0.0053938291542295997
Chilgok Weir,2025-05-28,1,20250528T020711_20250528T021218_T52SDE,S2C_MSIL2A_20250528T020711_N0511_R103_T52SDE_20250528T063213,52SDE,2025-05-28T02:18:01.370000+00:00,-0.2502188825229863,8387,-2098.5857677202862,8387,-0.2502188825229863,-0.0103101156475983,8387,-86.470939936406936,8387,-0.0103101156475983
Chilgok Weir,2025-05-30,1,20250530T021121_20250530T021428_T52SDE,S2A_MSIL2A_20250530T021121_N0511_R103_T52SDE_20250530T062212,52SDE,2025-05-30T02:17:58.527000+00:00,-0.062440839707436697,8387,-523.69132262627159,8387,-0.062440839707436697,-0.0012257231196887001,8387,-10.280139804829128,8387,-0.0012257231196887001
Chilgok Weir,2025-06-05,1,20250605T021529_20250605T022440_T52SDE,S2B_MSIL2A_20250605T021529_N0511_R003_T52SDE_20250605T041606,52SDE,2025-06-05T02:27:37.503000+00:00,-0.0050676912023745998,8387,-42.50272611431577,8387,-0.0050676912023745998,0.0136373119775562,8387,114.37613555576385,8387,0.0136373119775562
Chilgok Weir,2025-06-07,1,20250607T020711_20250607T021157_T52SDE,S2C_MSIL2A_20250607T020711_N0511_R103_T52SDE_20250607T055113,52SDE,2025-06-07T02:18:01.858000+00:00,-0.029040266869782099,8387,-243.56071823686247,8387,-0.029040266869782099,0.0030020867025235998,8387,25.178501174065431,8387,0.0030020867025235998
Chilgok Weir,2025-06-10,1,20250610T021551_20250610T022732_T52SDE,S2C_MSIL2A_20250610T021551_N0511_R003_T52SDE_20250610T044827,52SDE,2025-06-10T02:27:57.510000+00:00,0.049203486546468597,8367,411.68557193430274,8367,0.049203486546468597,0.032879336531765398,8367,275.10140876128111,8367,0.032879336531765398
Chilgok Weir,2025-07-02,1,20250702T020659_20250702T020654_T52SDE,S2B_MSIL2A_20250702T020659_N0511_R103_T52SDE_20250702T034405,52SDE,2025-07-02T02:17:44.450000+00:00,0.043852564913765102,8080,354.32872450322202,8080,0.043852564913765102,-0.0034641134651202999,8080,-27.990036798172024,8080,-0.0034641134651202999
Chilgok Weir,2025-07-05,1,20250705T021539_20250705T021535_T52SDE,S2B_MSIL2A_20250705T021539_N0511_R003_T52SDE_20250705T035632,52SDE,2025-07-05T02:27:40.728000+00:00,0.044292732179509797,8387,371.48314478954865,8387,0.044292732179509797,0.016674490566862599,8387,139.84895238427663,8387,0.016674490566862599
Chilgok Weir,2025-07-07,1,20250707T020711_20250707T021412_T52SDE,S2C_MSIL2A_20250707T020711_N0511_R103_T52SDE_20250707T054916,52SDE,2025-07-07T02:18:04.134000+00:00,0.0618595412068811,8387,518.8159721021118,8387,0.0618595412068811,-0.0060039648012195999,8387,-50.355252787828782,8387,-0.0060039648012195999
Chilgok Weir,2025-07-09,1,20250709T021131_20250709T021441_T52SDE,S2A_MSIL2A_20250709T021131_N0511_R103_T52SDE_20250709T062417,52SDE,2025-07-09T02:18:00.206000+00:00,0.1028430063595933,8387,862.54429433790904,8387,0.1028430063595933,-0.0020179531756676001,8387,-16.924573284324161,8387,-0.0020179531756676001
Chilgok Weir,2025-07-10,1,20250710T021631_20250710T022524_T52SDE,S2C_MSIL2A_20250710T021631_N0511_R003_T52SDE_20250710T055619,52SDE,2025-07-10T02:28:00.375000+00:00,0.034762845660235603,8387,291.55598655239601,8387,0.034762845660235603,0.010483713874113801,8387,87.926908262192441,8387,0.010483713874113801
Chilgok Weir,2025-07-25,1,20250725T021539_20250725T022319_T52SDE,S2B_MSIL2A_20250725T021539_N0511_R003_T52SDE_20250725T041758,52SDE,2025-07-25T02:27:39.267000+00:00,0.062243854912990497,8387,522.03921115525134,8387,0.062243854912990504,-0.014425378458957999,8387,-120.98564913528074,8387,-0.014425378458957999
Chilgok Weir,2025-07-29,1,20250729T021131_20250729T021429_T52SDE,S2A_MSIL2A_20250729T021131_N0511_R103_T52SDE_20250729T061616,52SDE,2025-07-29T02:17:59.629000+00:00,0.16159791921750741,8387,1355.3217484772347,8387,0.16159791921750741,0.00017799948741009999,8387,1.4928817009085087,8387,0.00017799948741009999
Chilgok Weir,2025-08-01,2,20250801T020649_20250801T021704_T52SDE|20250801T022131_20250801T022131_T52SDE,S2B_MSIL2A_20250801T020649_N0511_R103_T52SDE_20250801T040552|S2A_MSIL2A_20250801T022131_N0511_R003_T52SDE_20250801T071659,52SDE|52SDE,2025-08-01T02:17:41.374000+00:00|2025-08-01T02:27:54.803000+00:00,0.15271317672396259|0.1073266078127143,8387|8387,2180.9536729091092,16774,0.13001989226833846,0.0027944621453946999|0.0089247751462945002,8387|8387,98.289243165397323,16774,0.0058596186458446005
Chilgok Weir,2025-08-18,1,20250818T021121_20250818T021646_T52SDE,S2A_MSIL2A_20250818T021121_N0511_R103_T52SDE_20250818T061108,52SDE,2025-08-18T02:17:54.846000+00:00,0.063480914952776302,8373,531.52570089959602,8373,0.063480914952776302,0.0071503921456117,8373,59.870233435206764,8373,0.0071503921456117
Chilgok Weir,2025-08-21,1,20250821T020659_20250821T020653_T52SDE,S2B_MSIL2A_20250821T020659_N0511_R103_T52SDE_20250821T035126,52SDE,2025-08-21T02:17:43.644000+00:00,0.1367056581524228,8000,1093.6452652193825,8000,0.1367056581524228,0.0120286592427419,8000,96.229273941935205,8000,0.0120286592427419
Chilgok Weir,2025-09-23,1,20250923T021529_20250923T022229_T52SDE,S2B_MSIL2A_20250923T021529_N0511_R003_T52SDE_20250923T041635,52SDE,2025-09-23T02:27:36.546000+00:00,0.057270136813268001,8387,480.32463745287873,8387,0.057270136813268001,0.022930687272888401,8387,192.31967415771501,8387,0.022930687272888401
Chilgok Weir,2025-10-20,1,20251020T022131_20251020T022129_T52SDE,S2A_MSIL2A_20251020T022131_N0511_R003_T52SDE_20251020T071520,52SDE,2025-10-20T02:27:52.231000+00:00,-0.0851454997522227,8387,-714.11530642189177,8387,-0.0851454997522227,-0.031027075937590499,8387,-260.22408588857149,8387,-0.031027075937590496
Chilgok Weir,2025-10-28,1,20251028T021821_20251028T022504_T52SDE,S2C_MSIL2A_20251028T021821_N0511_R003_T52SDE_20251028T054320,52SDE,2025-10-28T02:27:50.290000+00:00,-0.089761113392788694,8387,-752.82645802531874,8387,-0.089761113392788694,-0.0084129133533058995,8387,-70.559104294176578,8387,-0.0084129133533058995
Dalseong Weir,2017-05-03,1,20170503T021611_20170503T022350_T52SDE,S2A_MSIL2A_20170503T021611_N0500_R003_T52SDE_20230925T151324,52SDE,2017-05-03T02:27:39.423000+00:00,-0.030990830169039502,10513,-325.80659756711231,10513,-0.030990830169039505,-0.0043978411658010998,10513,-46.234504176066963,10513,-0.0043978411658010998
Dalseong Weir,2017-07-27,1,20170727T021559_20170727T022347_T52SDE,S2B_MSIL2A_20170727T021559_N0500_R003_T52SDE_20230919T203258,52SDE,2017-07-27T02:27:36.945000+00:00,-0.0095107907066054997,10513,-99.986942698543615,10513,-0.0095107907066054997,-0.021683121126471298,10513,-227.95465240259276,10513,-0.021683121126471298
