site,date,component_rows,scene_ids,product_ids,tiles,utc_timestamps,ndci_component_values,ndci_component_counts,ndci_weighted_numerator,ndci_valid_pixels,ndci_mean,fai_component_values,fai_component_counts,fai_weighted_numerator,fai_valid_pixels,fai_mean
Baekje Weir,2019-06-22,1,20190622T021611_20190622T021607_T52SBF,S2A_MSIL2A_20190622T021611_N0212_R003_T52SBF_20190622T051801,52SBF,2019-06-22T02:27:34+00:00,0.076138416543006293,1547,117.78613039203074,1547,0.076138416543006293,0.059312170380342602,1547,91.755927578390001,1547,0.059312170380342602
Baekje Weir,2019-07-02,1,20190702T021611_20190702T021608_T52SCF,S2A_MSIL2A_20190702T021611_N0212_R003_T52SCF_20190702T051730,52SCF,2019-07-02T02:27:31.742000+00:00,0.047233523476471397,10200,481.78193946000823,10200,0.047233523476471397,0.0104159123724126,10200,106.24230619860852,10200,0.0104159123724126
Baekje Weir,2019-07-07,1,20190707T021609_20190707T021612_T52SCF,S2B_MSIL2A_20190707T021609_N0212_R003_T52SCF_20190707T044912,52SCF,2019-07-07T02:27:35+00:00,0.063272973983009503,10510,664.99895656142985,10510,0.063272973983009503,0.0086547407177612994,10510,90.961324943671258,10510,0.0086547407177612994
Baekje Weir,2019-07-12,1,20190712T021611_20190712T022538_T52SBF,S2A_MSIL2A_20190712T021611_N0213_R003_T52SBF_20190712T061901,52SBF,2019-07-12T02:27:35.842000+00:00,0.14478141120232171,1836,265.81867096746265,1836,0.14478141120232171,0.095855746914281906,1836,175.99115133462158,1836,0.095855746914281906
Baekje Weir,2019-08-11,2,20190811T021611_20190811T022620_T52SBF|20190811T021611_20190811T022620_T52SCF,S2A_MSIL2A_20190811T021611_N0213_R003_T52SBF_20190811T062028|S2A_MSIL2A_20190811T021611_N0213_R003_T52SCF_20190811T062028,52SBF|52SCF,2019-08-11T02:27:34.412000+00:00|2019-08-11T02:27:30.647000+00:00,0.23103728208797139|0.12912044061864539,2227|10510,1871.5758581118753,12737,0.14694008464409791,0.1073865031365437|0.025347720346586,2227|10510,505.55428332770168,12737,0.039691786396145221
Baekje Weir,2019-08-26,2,20190826T021609_20190826T021607_T52SBF|20190826T021609_20190826T021607_T52SCF,S2B_MSIL2A_20190826T021609_N0213_R003_T52SBF_20190826T045559|S2B_MSIL2A_20190826T021609_N0213_R003_T52SCF_20190826T045559,52SBF|52SCF,2019-08-26T02:27:35.253000+00:00|2019-08-26T02:27:31.494000+00:00,0.25723725084553262|0.1546410297613087,1182|9465,1767.7317771902065,10647,0.16603097371937695,0.19741379863015979|0.025437750226280299,1182|9463,474.06054037213937,10645,0.044533634605179839
Baekje Weir,2019-09-15,2,20190915T021609_20190915T022124_T52SBF|20190915T021609_20190915T022124_T52SCF,S2B_MSIL2A_20190915T021609_N0213_R003_T52SBF_20190915T054932|S2B_MSIL2A_20190915T021609_N0213_R003_T52SCF_20190915T054932,52SBF|52SCF,2019-09-15T02:27:30.684000+00:00|2019-09-15T02:27:26.929000+00:00,0.15930391377595951|0.1460997602102862,2227|10510,1890.2782957891698,12737,0.14840843964741854,0.0634215839291591|0.0127327961942741,2227|10507,275.02335702347528,12734,0.021597562197540072
Baekje Weir,2019-09-30,2,20190930T021601_20190930T021604_T52SBF|20190930T021601_20190930T021604_T52SCF,S2A_MSIL2A_20190930T021601_N0500_R003_T52SBF_20230707T024625|S2A_MSIL2A_20190930T021601_N0500_R003_T52SCF_20230707T024625,52SBF|52SCF,2019-09-30T02:27:32.263000+00:00|2019-09-30T02:27:28.496000+00:00,0.104155909607671|0.14677313624794899,2227|10510,1774.5408726622272,12737,0.13932172981567301,0.017644468048270801|0.0048182469630455001,2227|10510,89.934005925107272,12737,0.0070608468183329881
Baekje Weir,2019-10-15,2,20191015T021639_20191015T021642_T52SBF|20191015T021639_20191015T021642_T52SCF,S2B_MSIL2A_20191015T021639_N0500_R003_T52SBF_20230718T234657|S2B_MSIL2A_20191015T021639_N0213_R003_T52SCF_20191015T045544,52SBF|52SCF,2019-10-15T02:27:31.912000+00:00|2019-10-15T02:27:28.151000+00:00,0.1151435428731154|0.059904245683140199,2227|10510,886.01829210823144,12737,0.069562557282580789,-0.0023699779496436|0.0013216452587386,2227|10510,8.6125507754863868,12737,0.00067618362059247759
Baekje Weir,2019-10-20,2,20191020T021721_20191020T021716_T52SBF|20191020T021721_20191020T021716_T52SCF,S2A_MSIL2A_20191020T021721_N0213_R003_T52SBF_20191020T052106|S2A_MSIL2A_20191020T021721_N0213_R003_T52SCF_20191020T052106,52SBF|52SCF,2019-10-20T02:27:33.920000+00:00|2019-10-20T02:27:30.154000+00:00,0.087477774663306501|0.1069395971815867,2227|10510,1318.7481705536597,12737,0.10353679599227916,-0.00069844851320560004|-0.0024200186979834999,2227|10510,-26.989841354715455,12737,-0.0021190108624256463
Baekje Weir,2019-10-30,2,20191030T021821_20191030T021819_T52SBF|20191030T021821_20191030T021819_T52SCF,S2A_MSIL2A_20191030T021821_N0213_R003_T52SBF_20191030T053042|S2A_MSIL2A_20191030T021821_N0500_R003_T52SCF_20230709T010057,52SBF|52SCF,2019-10-30T02:27:33.929000+00:00|2019-10-30T02:27:30.164000+00:00,0.068344810925889204|0.057347623539713399,2227|10510,754.92741733434309,12737,0.059270426107744606,-0.0049634993014514997|-0.0044291096102046998,2227|10510,-57.603654947583884,12737,-0.0045225449436746392
Baekje Weir,2020-05-07,1,20200507T021611_20200507T021607_T52SCF,S2A_MSIL2A_20200507T021611_N0214_R003_T52SCF_20200507T052627,52SCF,2020-05-07T02:27:30.952000+00:00,0.0280640435015438,10510,294.95309720122532,10510,0.0280640435015438,-0.0010714466904964001,10510,-11.260904717117164,10510,-0.0010714466904964001
Baekje Weir,2020-05-12,1,20200512T021559_20200512T021601_T52SCF,S2B_MSIL2A_20200512T021559_N0214_R003_T52SCF_20200512T050014,52SCF,2020-05-12T02:27:25.623000+00:00,0.046592034316524499,8407,391.69923249902143,8407,0.046592034316524499,0.023225697468155101,8407,195.25843861477995,8407,0.023225697468155101
Baekje Weir,2020-05-27,1,20200527T021611_20200527T021609_T52SBF,S2A_MSIL2A_20200527T021611_N0214_R003_T52SBF_20200527T054336,52SBF,2020-05-27T02:27:36.725000+00:00,0.0085727054289150995,2227,19.091414990193925,2227,0.0085727054289150995,-0.0053652136679875999,2227,-11.948330838608385,2227,-0.0053652136679875999
Baekje Weir,2020-06-01,1,20200601T021609_20200601T021604_T52SCF,S2B_MSIL2A_20200601T021609_N0214_R003_T52SCF_20200601T050555,52SCF,2020-06-01T02:27:28.534000+00:00,0.049831424437854502,10510,523.72827084185076,10510,0.049831424437854495,0.0058723139487169996,10510,61.718019601015669,10510,0.0058723139487169996
Baekje Weir,2020-06-06,1,20200606T021611_20200606T021609_T52SCF,S2A_MSIL2A_20200606T021611_N0214_R003_T52SCF_20200606T052013,52SCF,2020-06-06T02:27:33.246000+00:00,0.037476504695734103,10510,393.87806435216544,10510,0.037476504695734103,-0.011455453596813801,10510,-120.39681730251304,10510,-0.011455453596813801
Baekje Weir,2020-06-11,1,20200611T021609_20200611T021605_T52SBF,S2B_MSIL2A_20200611T021609_N0214_R003_T52SBF_20200611T050308,52SBF,2020-06-11T02:27:33.013000+00:00,0.044469181051458598,324,14.408014660672587,324,0.044469181051458598,0.043502701025540498,324,14.094875132275121,324,0.043502701025540498
Baekje Weir,2020-06-16,2,20200616T021611_20200616T021609_T52SBF|20200616T021611_20200616T021609_T52SCF,S2A_MSIL2A_20200616T021611_N0214_R003_T52SBF_20200616T053533|S2A_MSIL2A_20200616T021611_N0214_R003_T52SCF_20200616T053533,52SBF|52SCF,2020-06-16T02:27:36.801000+00:00|2020-06-16T02:27:33.032000+00:00,0.082012864101633207|0.098180367615793199,2227|10510,1214.5183119963235,12737,0.095353561434900175,0.016464269762136399|0.0106448892335231,2227|10510,148.54371460460553,12737,0.011662378472529288
